id,homotypic_name_id,scientific_name,authorship,rank,uninomial,genus,infrageneric_epithet,specific_epithet,infraspecific_epithet,cultivar_epithet,strain,candidatus,notho,basionym_authors,basionym_ex_authors,basionym_year,combination_authors,combination_ex_authors,combination_year,sanctioning_author,code,nom_status,type
41654572,41654572,Not assigned,,family,,,,,,,,f,,{},{},,{},{},,,,,5
41641845,41641845,Theridiosomatidae,,family,Theridiosomatidae,,,,,,,f,,{},{},,{},{},,,,,0
41644525,41644525,Ischyroceridae,,family,Ischyroceridae,,,,,,,f,,{},{},,{},{},,,,,0
41652685,41652685,Lucinoidea,,superfamily,Lucinoidea,,,,,,,f,,{},{},,{},{},,,,,0
41644891,41644891,Agyrtidae,,family,Agyrtidae,,,,,,,f,,{},{},,{},{},,,,,0
41642389,41642389,Macrosphenidae,,family,Macrosphenidae,,,,,,,f,,{},{},,{},{},,,,,0
41653935,41653935,Monticuliferidae,,family,Monticuliferidae,,,,,,,f,,{},{},,{},{},,,,,0
41653258,41653258,Arctoceratidae,,family,Arctoceratidae,,,,,,,f,,{},{},,{},{},,,,,0
41646529,41646529,Ampullarioidea,,superfamily,Ampullarioidea,,,,,,,f,,{},{},,{},{},,,,,0
41648933,41648933,Heliozelidae,,family,Heliozelidae,,,,,,,f,,{},{},,{},{},,,,,0
41643123,41643123,Squillidae,,family,Squillidae,,,,,,,f,,{},{},,{},{},,,,,0
41644695,41644695,Panorpodidae,,family,Panorpodidae,,,,,,,f,,{},{},,{},{},,,,,0
41641999,41641999,Chloropidae,,family,Chloropidae,,,,,,,f,,{},{},,{},{},,,,,0
41647648,41647648,Euhirudinea,,order,Euhirudinea,,,,,,,f,,{},{},,{},{},,,,,0
41648550,41648550,Discophryidae,,family,Discophryidae,,,,,,,f,,{},{},,{},{},,,,,0
41651873,41651873,Protoblattinidae,,family,Protoblattinidae,,,,,,,f,,{},{},,{},{},,,,,0
41650703,41650703,Pterigynandraceae,,family,Pterigynandraceae,,,,,,,f,,{},{},,{},{},,,,,0
41654034,41654034,Elkaniidae,,family,Elkaniidae,,,,,,,f,,{},{},,{},{},,,,,0
41647821,41647821,Lyssacinosida,,order,Lyssacinosida,,,,,,,f,,{},{},,{},{},,,,,0
41647640,41647640,Cephaloziellaceae,,family,Cephaloziellaceae,,,,,,,f,,{},{},,{},{},,,,,0
41645254,41645254,Orbituliporidae,,family,Orbituliporidae,,,,,,,f,,{},{},,{},{},,,,,0
41645801,41645801,Symphysanodontidae,,family,Symphysanodontidae,,,,,,,f,,{},{},,{},{},,,,,0
41649868,41649868,Holidoteidae,,family,Holidoteidae,,,,,,,f,,{},{},,{},{},,,,,0
41642133,41642133,Curculionoidea,,superfamily,Curculionoidea,,,,,,,f,,{},{},,{},{},,,,,0
41649581,41649581,Anomodontaceae,,family,Anomodontaceae,,,,,,,f,,{},{},,{},{},,,,,0
41645149,41645149,Methanocellaceae,,family,Methanocellaceae,,,,,,,f,,{},{},,{},{},,,,,0
41644511,41644511,Melphidippidae,,family,Melphidippidae,,,,,,,f,,{},{},,{},{},,,,,0
41644573,41644573,Anapronoidae,,family,Anapronoidae,,,,,,,f,,{},{},,{},{},,,,,0
41653243,41653243,Eoderocerataceae,,superfamily,Eoderocerataceae,,,,,,,f,,{},{},,{},{},,,,,0
41650110,41650110,Hydrangeaceae,,family,Hydrangeaceae,,,,,,,f,,{},{},,{},{},,,,,0
41652363,41652363,Tanzanapseudidae,,family,Tanzanapseudidae,,,,,,,f,,{},{},,{},{},,,,,0
41650220,41650220,Onagraceae,,family,Onagraceae,,,,,,,f,,{},{},,{},{},,,,,0
41642144,41642144,Castoridae,,family,Castoridae,,,,,,,f,,{},{},,{},{},,,,,0
41642066,41642066,Nassellaria,,order,Nassellaria,,,,,,,f,,{},{},,{},{},,,,,0
41643015,41643015,Enterococcaceae,,family,Enterococcaceae,,,,,,,f,,{},{},,{},{},,,,,0
41649812,41649812,Pygasteridae,,family,Pygasteridae,,,,,,,f,,{},{},,{},{},,,,,0
41652593,41652593,Prochaetodermatidae,,family,Prochaetodermatidae,,,,,,,f,,{},{},,{},{},,,,,0
41642095,41642095,Dinomyidae,,family,Dinomyidae,,,,,,,f,,{},{},,{},{},,,,,0
41654623,41654623,Dendrocerotales,,order,Dendrocerotales,,,,,,,f,,{},{},,{},{},,,,,0
41646005,41646005,Cintractiellaceae,,family,Cintractiellaceae,,,,,,,f,,{},{},,{},{},,,,,0
41655198,41655198,Paraphrynoveliidae,,family,Paraphrynoveliidae,,,,,,,f,,{},{},,{},{},,,,,0
41653763,41653763,Sphenotretidae,,family,Sphenotretidae,,,,,,,f,,{},{},,{},{},,,,,0
41649068,41649068,Haplobainosomatidae,,family,Haplobainosomatidae,,,,,,,f,,{},{},,{},{},,,,,0
41644998,41644998,Sphingobacteriia,,class,Sphingobacteriia,,,,,,,f,,{},{},,{},{},,,,,0
41652042,41652042,Ascocylindricaceae,,family,Ascocylindricaceae,,,,,,,f,,{},{},,{},{},,,,,0
41644916,41644916,Mycteridae,,family,Mycteridae,,,,,,,f,,{},{},,{},{},,,,,0
41645352,41645352,Xiphiidae,,family,Xiphiidae,,,,,,,f,,{},{},,{},{},,,,,0
41642920,41642920,Lubbockiidae,,family,Lubbockiidae,,,,,,,f,,{},{},,{},{},,,,,0
41647408,41647408,Actinosphaeridae,,family,Actinosphaeridae,,,,,,,f,,{},{},,{},{},,,,,0
41649281,41649281,Norelloidea,,superfamily,Norelloidea,,,,,,,f,,{},{},,{},{},,,,,0
41648711,41648711,Kamburophryidae,,family,Kamburophryidae,,,,,,,f,,{},{},,{},{},,,,,0
41644762,41644762,Tingidae,,family,Tingidae,,,,,,,f,,{},{},,{},{},,,,,0
41653217,41653217,Not assigned,,family,,,,,,,,f,,{},{},,{},{},,,,,5
41651450,41651450,Buergeriellidae,,family,Buergeriellidae,,,,,,,f,,{},{},,{},{},,,,,0
41647102,41647102,Proseriata,,order,Proseriata,,,,,,,f,,{},{},,{},{},,,,,0
41652761,41652761,Facelinidae,,family,Facelinidae,,,,,,,f,,{},{},,{},{},,,,,0
41645021,41645021,Rikenellaceae,,family,Rikenellaceae,,,,,,,f,,{},{},,{},{},,,,,0
41644487,41644487,Platyischnopidae,,family,Platyischnopidae,,,,,,,f,,{},{},,{},{},,,,,0
41650710,41650710,Cyrtopodaceae,,family,Cyrtopodaceae,,,,,,,f,,{},{},,{},{},,,,,0
41649244,41649244,Allogromiida,,order,Allogromiida,,,,,,,f,,{},{},,{},{},,,,,0
41648370,41648370,Coryphaenidae,,family,Coryphaenidae,,,,,,,f,,{},{},,{},{},,,,,0
41652498,41652498,Phallostethidae,,family,Phallostethidae,,,,,,,f,,{},{},,{},{},,,,,0
41650074,41650074,Scrophulariaceae,,family,Scrophulariaceae,,,,,,,f,,{},{},,{},{},,,,,0
41646281,41646281,Glaresidae,,family,Glaresidae,,,,,,,f,,{},{},,{},{},,,,,0
41651211,41651211,Velatida,,order,Velatida,,,,,,,f,,{},{},,{},{},,,,,0
41647063,41647063,Batoteuthidae,,family,Batoteuthidae,,,,,,,f,,{},{},,{},{},,,,,0
41653482,41653482,Noridiscitidae,,family,Noridiscitidae,,,,,,,f,,{},{},,{},{},,,,,0
41651356,41651356,Turbinellidae,,family,Turbinellidae,,,,,,,f,,{},{},,{},{},,,,,0
41652712,41652712,Lepetidae,,family,Lepetidae,,,,,,,f,,{},{},,{},{},,,,,0
41653502,41653502,Spirocerataceae,,superfamily,Spirocerataceae,,,,,,,f,,{},{},,{},{},,,,,0
41647917,41647917,Stromboidea,,superfamily,Stromboidea,,,,,,,f,,{},{},,{},{},,,,,0
41644620,41644620,Lepidostomatidae,,family,Lepidostomatidae,,,,,,,f,,{},{},,{},{},,,,,0
41647863,41647863,Tylencholaimidae,,family,Tylencholaimidae,,,,,,,f,,{},{},,{},{},,,,,0
41645234,41645234,Nodaviridae,,family,Nodaviridae,,,,,,,f,,{},{},,{},{},,,,,0
41644448,41644448,Bathypalaemonellidae,,family,Bathypalaemonellidae,,,,,,,f,,{},{},,{},{},,,,,0
41645310,41645310,Zingiberales,,order,Zingiberales,,,,,,,f,,{},{},,{},{},,,,,0
41650564,41650564,Globotextulariidae,,family,Globotextulariidae,,,,,,,f,,{},{},,{},{},,,,,0
41652569,41652569,Scyllaeidae,,family,Scyllaeidae,,,,,,,f,,{},{},,{},{},,,,,0
41645869,41645869,Phaeomyiidae,,family,Phaeomyiidae,,,,,,,f,,{},{},,{},{},,,,,0
41645921,41645921,Corticoviridae,,family,Corticoviridae,,,,,,,f,,{},{},,{},{},,,,,0
41655079,41655079,Anaulales,,order,Anaulales,,,,,,,f,,{},{},,{},{},,,,,0
41642606,41642606,Cytheralisonidae,,family,Cytheralisonidae,,,,,,,f,,{},{},,{},{},,,,,0
41648171,41648171,Platyxanthidae,,family,Platyxanthidae,,,,,,,f,,{},{},,{},{},,,,,0
41653185,41653185,Rhyssometopidae,,family,Rhyssometopidae,,,,,,,f,,{},{},,{},{},,,,,0
41642023,41642023,Evocoidae,,family,Evocoidae,,,,,,,f,,{},{},,{},{},,,,,0
41644203,41644203,Polyxenida,,order,Polyxenida,,,,,,,f,,{},{},,{},{},,,,,0
41649368,41649368,Buphagidae,,family,Buphagidae,,,,,,,f,,{},{},,{},{},,,,,0
41653893,41653893,Not assigned,,family,,,,,,,,f,,{},{},,{},{},,,,,5
41646725,41646725,Tiarechinidae,,family,Tiarechinidae,,,,,,,f,,{},{},,{},{},,,,,0
41654341,41654341,Jungornithidae,,family,Jungornithidae,,,,,,,f,,{},{},,{},{},,,,,0
41649814,41649814,Neolampadina,,superfamily,Neolampadina,,,,,,,f,,{},{},,{},{},,,,,0
41645689,41645689,Adhaesozetidae,,family,Adhaesozetidae,,,,,,,f,,{},{},,{},{},,,,,0
41649062,41649062,Lusitaniosomatidae,,family,Lusitaniosomatidae,,,,,,,f,,{},{},,{},{},,,,,0
41650820,41650820,Xyronotidae,,family,Xyronotidae,,,,,,,f,,{},{},,{},{},,,,,0
41651459,41651459,Mycalidae,,family,Mycalidae,,,,,,,f,,{},{},,{},{},,,,,0
41644359,41644359,Artostrobiidae,,family,Artostrobiidae,,,,,,,f,,{},{},,{},{},,,,,0
41645125,41645125,Thermoplasmata,,class,Thermoplasmata,,,,,,,f,,{},{},,{},{},,,,,0
41652979,41652979,Haplotaeniatumidae,,family,Haplotaeniatumidae,,,,,,,f,,{},{},,{},{},,,,,0
41653761,41653761,Spinocyrtiidae,,family,Spinocyrtiidae,,,,,,,f,,{},{},,{},{},,,,,0
41649789,41649789,Paramyxoviridae,,family,Paramyxoviridae,,,,,,,f,,{},{},,{},{},,,,,0
41651220,41651220,Cicerinidae,,family,Cicerinidae,,,,,,,f,,{},{},,{},{},,,,,0
