A Thouin	BOT	Thouin	André Thouin
A Todaro	BOT	Tod.	Agostino Todaro
A Trotter	BOT	Trotter	Alessandro Trotter
A Trécul	BOT	Trécul	Auguste Trécul
A U Däniker	BOT	Däniker	Albert Ulrich Däniker
A Usteri	BOT	A.Usteri	Alfred Usteri
A V Bobrov	BOT	A.V.Bobrov	Alexey Vladimir Bobrov
A V Duthie	BOT	A.V.Duthie	Augusta Vera Duthie
A V F Ysabeau	BOT	Ysabeau	Alexandre Victor Frédéric Ysabeau
A V Fomin	BOT	Fomin	Aleksandr Vasiljevich Fomin
A V Frič	BOT	Frič	Alberto Vojtěch Frič
A V Roberts	BOT	A.V.Roberts	Andrew Vaughan Roberts
A Vaga	BOT	Vaga	August Vaga
A van Royen	BOT	Royen	Adriaan van Royen
A Voeltzkow	BOT	Voeltzk.	Alfred Voeltzkow
A Volkart	BOT	Volkart	Albert Volkart
A von Chamisso	BOT	Cham.	Adelbert von Chamisso	Chamisso
A von Haller	BOT	Haller	Albrecht von Haller	Haller f.
A von Hayek	BOT	Hayek	August von Hayek
A von Humboldt	BOT	Humb.	Alexander von Humboldt	Humboldt
A von Krempelhuber	BOT	Kremp.	August von Krempelhuber
A von Lingelsheim	BOT	Lingelsh.	Alexander von Lingelsheim
A von Middendorff	BOT	Middend.	Alexander von Middendorff
A von Nordmann	BOT	Nordm.	Alexander von Nordmann	Nordmann
A Voss	BOT	Voss	Andreas Voss
A Vázquez	BOT	A.Vázquez	Antonio Vázquez
A W Bennett	BOT	A.W.Benn.	Alfred William Bennett
A W Chapman	BOT	Chapm.	Alvan Wentworth Chapman
A W E C Wibel	BOT	Wibel	August Wilhelm Eberhard Christoph Wibel
A W Eichler	BOT	Eichler	August Wilhelm Eichler
A W Evans	BOT	A.Evans	Alexander William Evans
A W Exell	BOT	Exell	Arthur Wallis Exell
A W Hill	BOT	A.W.Hill	Arthur William Hill
A W Howitt	BOT	A.W.Howitt	Alfred William Howitt
A W Lushington	BOT	Lush.	Alfred Wyndham Lushington
A W Meerow	BOT	Meerow	Alan W. Meerow
A W Purdie	BOT	A.W.Purdie	Andrew William Purdie
A W Roth	BOT	Roth	Albrecht Wilhelm Roth
A W Scherfel	BOT	Scherfel	Aurel Wilhelm Scherfel
A W Stelfox	BOT	Stelfox	Arthur Wilson Stelfox
A W Whipple	BOT	Whipple	Amiel Weeks Whipple
A Waisbecker	BOT	Waisb.	Anton Waisbecker
A Wall	BOT	A.Wall	Arnold Wall
A Wallace	BOT	A.Wallace	Alexander Wallace
A Wallnöfer	BOT	Walln.	Anton Wallnöfer
A Weber	BOT	A.Weber	Anton Weber
A Weberbauer	BOT	Weberb.	Augusto Weberbauer
A Wesmael	BOT	Wesm.	Alfred Wesmael
A Wistuba	BOT	Wistuba	Andreas Wistuba
A Wood	BOT	Alph.Wood	Alphonso Wood
A Worsley	BOT	Worsley	Arthington Worsley
A X P Coutinho	BOT	Cout.	António Xavier Pereira Coutinho
A Yasuda	BOT	Yasuda	Atsushi Yasuda
A Zahlbruckner	BOT	Zahlbr.	Alexander Zahlbruckner
A Zawadzki	BOT	Zaw.	Aleksander Zawadzki
A Zippelius	BOT	Zipp.	Alexander Zippelius
A Zuccagni	BOT	Zuccagni	Attilio Zuccagni
A Zämelis	BOT	Zämelis	Aleksander Zämelis
A. A. P. Leonardía	BOT	A. A. P. Leonardía
A. A. Pearson	BOT	A. A. Pearson
A. A. Soltani	ZOO	A. A. Soltani	Soltani
A. Adams	BOT	A. Adams
A. Agarwal	BOT	A. Agarwal
A. Ahmad	BOT	A. Ahmad
A. Aikman	BOT	A. Aikman
A. Alfaro-García	BOT	A. Alfaro-García
A. Alois Weber	BOT	A. Alois Weber
A. Amougou	BOT	A. Amougou
A. Ampeng	BOT	A. Ampeng
A. Andreucci	BOT	A. Andreucci
A. Arvat	BOT	A. Arvat
A. Ashraf	BOT	A. Ashraf
A. Astanova	BOT	A. Astanova
A. Atasay	BOT	A. Atasay
A. Avidor	BOT	A. Avidor
A. B. Pullen	BOT	A. B. Pullen
A. Babu	BOT	A. Babu
A. Baici	BOT	A. Baici
A. Bailly	BOT	A. Bailly
A. Baja-Lapis	BOT	A. Baja-Lapis
A. Barbosa-Silva	BOT	A. Barbosa-Silva
A. Barili	BOT	A. Barili
A. Barret	BOT	A. Barret
A. Barry Low	BOT	A. Barry Low
A. Bartik	BOT	A. Bartik
A. Basex	BOT	A. Basex
A. Baud	BOT	A. Baud
A. Bazex	BOT	A. Bazex
A. Beguet	BOT	A. Beguet
A. Benabid	BOT	A. Benabid
A. Bencini	BOT	A. Bencini
A. Berg	BOT	A. Berg
A. Berhaman	BOT	A. Berhaman
A. Beurlin	BOT	A. Beurlin
A. Biraghi	BOT	A. Biraghi
A. Blanck	BOT	A. Blanck
A. Bohra	BOT	A. Bohra
A. Bojanovská	BOT	A. Bojanovská
A. Boraiah	BOT	A. Boraiah
A. Botha	BOT	A. Botha
A. Bouquet	BOT	A. Bouquet
A. Brandi	BOT	A. Brandi
A. Bride	BOT	A. Bride
A. Brunori	BOT	A. Brunori
A. Buchheim	BOT	A. Buchheim
A. Buckman	BOT	A. Buckman
A. Budde	BOT	A. Budde
A. Burguete	BOT	A. Burguete
A. Burke	BOT	A. Burke
A. Cairns	BOT	A. Cairns
A. Campbell	BOT	A. Campbell
A. Canonaco	BOT	A. Canonaco
A. Capellano	BOT	A. Capellano
A. Capilla	BOT	A. Capilla
A. Carolina Proaño Castro	BOT	A. Carolina Proaño Castro
A. Caroline Mashau	BOT	A. Caroline Mashau
A. Cartier	BOT	A. Cartier
A. Castagnaro	BOT	A. Castagnaro
A. Castanei	BOT	A. Castanei
A. Castellan	BOT	A. Castellan
A. Catanei	BOT	A. Catanei
A. Cavalier	BOT	A. Cavalier
A. Cayzer	BOT	A. Cayzer
A. Ceccarelli	BOT	A. Ceccarelli
A. Ceruta	BOT	A. Ceruta
A. Chandraprabha	BOT	A. Chandraprabha
A. Chantarasrikul	BOT	A. Chantarasrikul
A. Chitzanidis	BOT	A. Chitzanidis
A. Christiansen	BOT	A. Christiansen
A. Christoff	BOT	A. Christoff
A. Cimerman	ANY	A. Cimerman	Cimerman
A. Colozza	BOT	A. Colozza
A. Coman	BOT	A. Coman
A. Conard	BOT	A. Conard
A. Conte	BOT	A. Conte
A. Cooper	BOT	A. Cooper
A. Corneju	BOT	A. Corneju
A. Courbai	BOT	A. Courbai
A. Crocals	BOT	A. Crocals
A. Cumino	BOT	A. Cumino
A. Curry	BOT	A. Curry
A. Da Matta	BOT	A. Da Matta
A. Da Veiga	BOT	A. Da Veiga
A. Dashti	BOT	A. Dashti
A. Dastpak	BOT	A. Dastpak
A. David Blest	ZOO	A. David Blest	Blest
A. Davies	BOT	A. Davies
A. Daza Yomona	BOT	A. Daza Yomona
A. De	BOT	A. De
A. de Barros-Machado	BOT	A. de Barros-Machado
A. de Errasti	BOT	A. de Errasti
A. de Gasparis	BOT	A. de Gasparis
A. Dean Stock	BOT	A. Dean Stock
A. Dearden	BOT	A. Dearden
A. Decker	BOT	A. Decker
A. Desplanques	BOT	A. Desplanques
A. Diafouka	BOT	A. Diafouka
A. Dodin	BOT	A. Dodin
A. Donneaux	BOT	A. Donneaux
A. Dubuis	BOT	A. Dubuis
A. Duvernoy	BOT	A. Duvernoy
A. Dzagania	BOT	A. Dzagania
A. Dzhanuzokov	BOT	A. Dzhanuzokov
A. Edward Salgado	BOT	A. Edward Salgado
A. Egües	BOT	A. Egües
A. Ehrler	BOT	A. Ehrler
A. El-Gadi	BOT	A. El-Gadi
A. El-Taife	BOT	A. El-Taife
A. Elizabeth Arnold	BOT	A. Elizabeth Arnold
A. Encinas	BOT	A. Encinas
A. Ernst	BOT	A. Ernst
A. Ester	BOT	A. Ester
A. Fage	BOT	A. Fage
A. Farid	BOT	A. Farid
A. Fasola	BOT	A. Fasola
A. Feest	BOT	A. Feest
A. Fernandes Vital	BOT	A. Fernandes Vital
A. Fernando C. Tombolato	BOT	A. Fernando C. Tombolato
A. Ferrari	BOT	A. Ferrari
A. Finkel	BOT	A. Finkel
A. Fleischhacker	BOT	A. Fleischhacker
A. Floruțiu	BOT	A. Floruțiu
A. Fomena	BOT	A. Fomena
A. Forbes-Hardinge	BOT	A. Forbes-Hardinge
A. Franc	BOT	A. Franc
A. Franzoni	BOT	A. Franzoni
A. Furuichi	BOT	A. Furuichi
A. G. Ablajev	BOT	A. G. Ablajev
A. Gaillat	BOT	A. Gaillat
A. Galian	BOT	A. Galian
A. Gangaprasad	BOT	A. Gangaprasad
A. Garcés-Claver	BOT	A. Garcés-Claver
A. García Lidón	BOT	A. García Lidón
A. García Zúñiga	BOT	A. García Zúñiga
A. Garret	BOT	A. Garret
A. Gavrus	BOT	A. Gavrus
A. Genini	BOT	A. Genini
A. Geoffrey	BOT	A. Geoffrey
A. Ghaffer	BOT	A. Ghaffer
A. Gilkinet	BOT	A. Gilkinet
A. Glenn Richards	ZOO	A. Glenn Richards
A. Golenia	BOT	A. Golenia
A. Goris	BOT	A. Goris
A. Grabinska-Loniewska	BOT	A. Grabinska-Loniewska
A. Gran	BOT	A. Gran
A. Gravis	BOT	A. Gravis
A. Gross	BOT	A. Gross
A. Grosse	BOT	A. Grosse
A. Gröger	BOT	A. Gröger
A. Gustops	BOT	A. Gustops
A. H. Legge	BOT	A. H. Legge
A. Hadadi	BOT	A. Hadadi
A. Hamel	BOT	A. Hamel
A. Hamid Hafiza	BOT	A. Hamid Hafiza
A. Hammerbacher	BOT	A. Hammerbacher
A. Harmand	BOT	A. Harmand
A. Heitz	BOT	A. Heitz
A. Hema	BOT	A. Hema
A. Henry Husson	BOT	A. Henry Husson
A. Hensel	BOT	A. Hensel
A. Herndon	BOT	A. Herndon
A. Hilsden	BOT	A. Hilsden
A. Huger	BOT	A. Huger
A. I. Konstantinova	BOT	A. I. Konstantinova
A. Ihnatowicz	BOT	A. Ihnatowicz
A. Iltis	BOT	A. Iltis
A. Imoulan	BOT	A. Imoulan
A. Ingram	BOT	A. Ingram
A. Ivanitzkaja	BOT	A. Ivanitzkaja
A. Javadi	BOT	A. Javadi
A. Jeannenay	BOT	A. Jeannenay
A. Jegorov	BOT	A. Jegorov
A. Jesús Muñoz-Pajares	BOT	A. Jesús Muñoz-Pajares
A. Jeyaprakashb	BOT	A. Jeyaprakashb
A. Jonas Rupp	BOT	A. Jonas Rupp
A. Jullien-Crosnier	BOT	A. Jullien-Crosnier
A. Juse	BOT	A. Juse
A. K. Muhammad Ariffin	BOT	A. K. Muhammad Ariffin
A. Kartonegoro	BOT	A. Kartonegoro
A. Kasparek	BOT	A. Kasparek
A. Katie Hansen	BOT	A. Katie Hansen
A. Kawamura	BOT	A. Kawamura
A. Keizer	BOT	A. Keizer
A. Kilani	BOT	A. Kilani
A. Klingström	BOT	A. Klingström
A. Knapp	BOT	A. Knapp
A. Koehler	BOT	A. Koehler
A. Kolecka	BOT	A. Kolecka
A. Komatsu	BOT	A. Komatsu
A. Krainsky	BOT	A. Krainsky
A. Krieg	BOT	A. Krieg
A. Krishna	BOT	A. Krishna
A. Krzemecki	BOT	A. Krzemecki
A. Kurtz	BOT	A. Kurtz
A. Kuyumdzhieva	BOT	A. Kuyumdzhieva
A. L. Bening	BOT	A. L. Bening
A. Lafont	BOT	A. Lafont
A. Lasché	BOT	A. Lasché
A. Le Gloanic	BOT	A. Le Gloanic
A. Lebre	BOT	A. Lebre
A. Lenoir	BOT	A. Lenoir
A. Leroy	BOT	A. Leroy
A. Letellier	BOT	A. Letellier
A. Levi	BOT	A. Levi
A. Lichon	BOT	A. Lichon
A. Linde	BOT	A. Linde
A. Loe	BOT	A. Loe
A. Lonsing	BOT	A. Lonsing
A. Lorey	BOT	A. Lorey
A. Louis	BOT	A. Louis
A. Louisa Sanders	BOT	A. Louisa Sanders
A. Lucas	BOT	A. Lucas
A. Lucet	BOT	A. Lucet
A. M. Barsegyan	BOT	A. M. Barsegyan
A. Maarten Brand	BOT	A. Maarten Brand
A. Maffucci	BOT	A. Maffucci
A. Mahadevan	BOT	A. Mahadevan
A. Majeed Kak	BOT	A. Majeed Kak
A. Mallik	BOT	A. Mallik
A. Manojkumar	BOT	A. Manojkumar
A. Marcelle Stirling	BOT	A. Marcelle Stirling
A. Marques	BOT	A. Marques
A. Marshall	BOT	A. Marshall
A. Martinez M.	BOT	A. Martinez M.
A. Matsumae	BOT	A. Matsumae
A. McVeigh	BOT	A. McVeigh
A. Meyrat	BOT	A. Meyrat
A. Moerman	BOT	A. Moerman
A. Moharrery	BOT	A. Moharrery
A. Monoyer	BOT	A. Monoyer
A. Moradi	BOT	A. Moradi
A. Morrison	BOT	A. Morrison
A. Moslemi	BOT	A. Moslemi
A. Mukelar	BOT	A. Mukelar
A. Murdoch	ZOO	A. Murdoch
A. Murray Evans	BOT	A. Murray Evans
A. Muthama Muasya	BOT	A. Muthama Muasya
A. Myklebust	BOT	A. Myklebust
A. Myrzakulov	BOT	A. Myrzakulov
A. N. Demjanenko	BOT	A. N. Demjanenko
A. Nagamani	BOT	A. Nagamani
A. Naggi	BOT	A. Naggi
A. Nanta	BOT	A. Nanta
A. Narayana Swamy	BOT	A. Narayana Swamy
A. Naville	BOT	A. Naville
A. Nawawi	BOT	A. Nawawi
A. Nechitsche	BOT	A. Nechitsche
A. Nell	BOT	A. Nell
A. Nestler	BOT	A. Nestler
A. Nongonierma	BOT	A. Nongonierma
A. Nowakowska-Waszczuk	BOT	A. Nowakowska-Waszczuk
A. Nuccio	BOT	A. Nuccio
A. Nylund	BOT	A. Nylund
A. Oetari	BOT	A. Oetari
A. Ofosu-Asiedu	BOT	A. Ofosu-Asiedu
A. Oppicelli	BOT	A. Oppicelli
A. Orazmuchommedov	BOT	A. Orazmuchommedov
A. Orlova	BOT	A. Orlova
A. Ortiz-Alcaráz	BOT	A. Ortiz-Alcaráz
A. P. Kapur	ZOO	A. P. Kapur	Kapur
A. Palacious	BOT	A. Palacious
A. Palaniswami	BOT	A. Palaniswami
A. Panayotatou	BOT	A. Panayotatou
A. Paramá	BOT	A. Paramá
A. Parriaud	BOT	A. Parriaud
A. Pasini	BOT	A. Pasini
A. Patil	BOT	A. Patil
A. Paul	BOT	A. Paul
A. Perin	BOT	A. Perin
A. Perrigo	BOT	A. Perrigo
A. Peterse	BOT	A. Peterse
A. Petitberghien	BOT	A. Petitberghien
A. Pezzolato	BOT	A. Pezzolato
A. Pitakpong	BOT	A. Pitakpong
A. Platschek	BOT	A. Platschek
A. Popescu	BOT	A. Popescu
A. Prajaksood	BOT	A. Prajaksood
A. Prunet	BOT	A. Prunet
A. Psomadakis	BOT	A. Psomadakis
A. Puglisi	BOT	A. Puglisi
A. Punugu	BOT	A. Punugu
A. Purushothaman	BOT	A. Purushothaman
A. Raabe	BOT	A. Raabe
A. Ramalingam	BOT	A. Ramalingam
A. Ramezani	BOT	A. Ramezani
A. Rasheed	BOT	A. Rasheed
A. Rasia Beegam	BOT	A. Rasia Beegam
A. Rasumov	BOT	A. Rasumov
A. Rea	BOT	A. Rea
A. Regnault	BOT	A. Regnault
A. Reina-Rodríguez	BOT	A. Reina-Rodríguez
A. Reznik	BOT	A. Reznik
A. Robin White	BOT	A. Robin White
A. Roche	BOT	A. Roche
A. Roldán	BOT	A. Roldán
A. Ronse	BOT	A. Ronse
A. Roohibakhsh	BOT	A. Roohibakhsh
A. Ruggero	BOT	A. Ruggero
A. Ruschuk	BOT	A. Ruschuk
A. Russo	BOT	A. Russo
A. Ryberg	BOT	A. Ryberg
A. S. Bilaidi	BOT	A. S. Bilaidi
A. S. Mulder	BOT	A. S. Mulder
A. Sabeena	BOT	A. Sabeena
A. Saber	BOT	A. Saber
A. Sadeq Zeravan	BOT	A. Sadeq Zeravan
A. Saitta	BOT	A. Saitta
A. Salazar	BOT	A. Salazar
A. Saleem	BOT	A. Saleem
A. Salimi	BOT	A. Salimi
A. Salonen	BOT	A. Salonen
A. Salvanet-Duval	BOT	A. Salvanet-Duval
A. Sasson	BOT	A. Sasson
A. Sattarian	BOT	A. Sattarian
A. Sawatari	BOT	A. Sawatari
A. Schaffranek	BOT	A. Schaffranek
A. Schenck	BOT	A. Schenck
A. Schiemek	BOT	A. Schiemek
A. Schtscherbina	BOT	A. Schtscherbina
A. Schulz	BOT	A. Schulz
A. Schweiger	BOT	A. Schweiger
A. Semecnik	BOT	A. Semecnik
A. Senéz	BOT	A. Senéz
A. Sharipov	BOT	A. Sharipov
A. Simon	BOT	A. Simon
A. Singh	BOT	A. Singh
A. Sivapalan	BOT	A. Sivapalan
A. Smith	BOT	A. Smith
A. Socias Amorós	BOT	A. Socias Amorós
A. Spiers	BOT	A. Spiers
A. Sriskantha	BOT	A. Sriskantha
A. Stigston Thompson	BOT	A. Stigston Thompson
A. Straus	BOT	A. Straus
A. Sua<acute>rez-Corredor	BOT	A. Sua<acute>rez-Corredor
A. Subrahmanyam	BOT	A. Subrahmanyam
A. Sudhakar Rao	BOT	A. Sudhakar Rao
A. Swathi Sri	BOT	A. Swathi Sri
A. Takimoto	BOT	A. Takimoto
A. Terracino	BOT	A. Terracino
A. Teucq	BOT	A. Teucq
A. Tewari	BOT	A. Tewari
A. Timmerman	ANY	A. Timmerman	Timmerman
A. Tiril M. Pedersen	BOT	A. Tiril M. Pedersen
A. Tochetto	BOT	A. Tochetto
A. Tonelli	BOT	A. Tonelli
A. Tonolo	BOT	A. Tonolo
A. Tooyama	BOT	A. Tooyama
A. Topa	BOT	A. Topa
A. Trejos	BOT	A. Trejos
A. Tristani	BOT	A. Tristani
A. Tucović	BOT	A. Tucović
A. Uddin	BOT	A. Uddin
A. Ugraiah	BOT	A. Ugraiah
A. Ulsamer	BOT	A. Ulsamer
A. Umlauft	BOT	A. Umlauft
A. Uzonyi-Latkoczky	BOT	A. Uzonyi-Latkoczky
A. van Luigk	BOT	A. van Luigk
A. Varma	BOT	A. Varma
A. Vela-Ces	BOT	A. Vela-Ces
A. Vey	BOT	A. Vey
A. Vignier	BOT	A. Vignier
A. Viguier	BOT	A. Viguier
A. Vijaya Joseph	BOT	A. Vijaya Joseph
A. Viveiros	BOT	A. Viveiros
A. Walz	BOT	A. Walz
A. Weihe	BOT	A. Weihe
A. Weill	BOT	A. Weill
A. Weiller	BOT	A. Weiller
A. Wessner	BOT	A. Wessner
A. Witt	BOT	A. Witt
A. Wlangali	BOT	A. Wlangali
A. Wojtowicz	BOT	A. Wojtowicz
A. Wolfard	BOT	A. Wolfard
A. Wolff	BOT	A. Wolff
A. Wulf	BOT	A. Wulf
A. Yoshida	BOT	A. Yoshida
A. Yuksip	BOT	A. Yuksip
A. Zagolin	BOT	A. Zagolin
A. Zainal	BOT	A. Zainal
A. Zeitlin	BOT	A. Zeitlin
A. Ķirulis	BOT	A. Ķirulis
A.-A. Fayed	BOT	A.-A. Fayed
A.-A.S. Abdel-Baki	BOT	A.-A.S. Abdel-Baki
A.-C. Nordenhed	BOT	A.-C. Nordenhed
A.-E. Grobéty	BOT	A.-E. Grobéty
A.-M. Barniske	BOT	A.-M. Barniske
A.-S. Karlsson	BOT	A.-S. Karlsson
A.A. Andrienko	BOT	A.A. Andrienko
A.A. Ataeva	BOT	A.A. Ataeva
A.A. Avazneli	BOT	A.A. Avazneli
A.A. Baburina	BOT	A.A. Baburina
A.A. Bachinskaya-Raichenko	BOT	A.A. Bachinskaya-Raichenko
A.A. Bailey	BOT	A.A. Bailey
A.A. Dudman	BOT	A.A. Dudman
A.A. Ericzjan	BOT	A.A. Ericzjan
A.A. Evlachova	BOT	A.A. Evlachova
A.A. Foster	BOT	A.A. Foster
A.A. Glebova	BOT	A.A. Glebova
A.A. Grodzinskaya	BOT	A.A. Grodzinskaya
A.A. Imšenecki	BOT	A.A. Imšenecki
A.A. Joffre	BOT	A.A. Joffre
A.A. Juschev	BOT	A.A. Juschev
A.A. Kazakova	BOT	A.A. Kazakova
A.A. Keczaykin	BOT	A.A. Keczaykin
A.A. Kondrateva	BOT	A.A. Kondrateva
A.A. Kulumbaeva	BOT	A.A. Kulumbaeva
A.A. Kuzemko	BOT	A.A. Kuzemko
A.A. Kuznetsov	BOT	A.A. Kuznetsov
A.A. Laristschev	BOT	A.A. Laristschev
A.A. Machado	BOT	A.A. Machado
A.A. Majorov	BOT	A.A. Majorov
A.A. Malama	BOT	A.A. Malama
A.A. Mesczerjakov	BOT	A.A. Mesczerjakov
A.A. Meunissier	BOT	A.A. Meunissier
A.A. Mitchell	BOT	A.A. Mitchell
A.A. Moiz	BOT	A.A. Moiz
A.A. Muldashev	BOT	A.A. Muldashev
A.A. Naumenko-Svetlova	BOT	A.A. Naumenko-Svetlova
A.A. Nayal	BOT	A.A. Nayal
A.A. Nechaev	BOT	A.A. Nechaev
A.A. Petruk	BOT	A.A. Petruk
A.A. Petryk	BOT	A.A. Petryk
A.A. Skatschko	BOT	A.A. Skatschko
A.A. Slobodov	BOT	A.A. Slobodov
A.A. Solovjev	BOT	A.A. Solovjev
A.A. Sterk	BOT	A.A. Sterk
A.A. Teimurov	BOT	A.A. Teimurov
A.A. Vasilyeva	BOT	A.A. Vasilyeva
A.A. Yushev	BOT	A.A. Yushev
A.A. Zohri	BOT	A.A. Zohri
A.A.K. Chatterjee	BOT	A.A.K. Chatterjee
A.A.M. Gomes	BOT	A.A.M. Gomes
A.B. Bhatt	BOT	A.B. Bhatt
A.B. Budington	BOT	A.B. Budington
A.B. Chaudhuri	BOT	A.B. Chaudhuri
A.B. Ewen	BOT	A.B. Ewen
A.B. Garud	BOT	A.B. Garud
A.B. Graham	BOT	A.B. Graham
A.B. Griffiths	BOT	A.B. Griffiths
A.B. Gukasjan	BOT	A.B. Gukasjan
A.B. Joshi	BOT	A.B. Joshi
A.B. Klinge	BOT	A.B. Klinge
A.B. Matinyan	BOT	A.B. Matinyan
A.B. Panwar	BOT	A.B. Panwar
A.B. Pawar	BOT	A.B. Pawar
A.B. Pawarn	BOT	A.B. Pawarn
A.B. Russell	BOT	A.B. Russell
A.B. Stoddart	BOT	A.B. Stoddart
A.B. Zamuner	BOT	A.B. Zamuner
A.B.F. Matthews	BOT	A.B.F. Matthews
A.B.M. Nor Norlailatul	BOT	A.B.M. Nor Norlailatul
A.B.M.Enayet Hossain	BOT	A.B.M.Enayet Hossain
A.C. Baker	BOT	A.C. Baker
A.C. Burns	BOT	A.C. Burns
A.C. Das	BOT	A.C. Das
A.C. Dey	BOT	A.C. Dey
A.C. Dianese	BOT	A.C. Dianese
A.C. Ellis-Adam	BOT	A.C. Ellis-Adam
A.C. Grigoriu	BOT	A.C. Grigoriu
A.C. Ibrahim	BOT	A.C. Ibrahim
A.C. Jain	BOT	A.C. Jain
A.C. Lakshmana	BOT	A.C. Lakshmana
A.C. Molnar	BOT	A.C. Molnar
A.C. Mullan	BOT	A.C. Mullan
A.C. Pinheiro	BOT	A.C. Pinheiro
A.C. Rosenthal	BOT	A.C. Rosenthal
A.C. Sarkar	BOT	A.C. Sarkar
A.C. Surana	BOT	A.C. Surana
A.C. Thaysen	BOT	A.C. Thaysen
A.C. Tunstall	BOT	A.C. Tunstall
A.C. Whitford	BOT	A.C. Whitford
A.C. Wilton	BOT	A.C. Wilton
A.C.M. Hoozemans	BOT	A.C.M. Hoozemans
A.C.P. Teixeira	BOT	A.C.P. Teixeira
A.C.S. Schweers	BOT	A.C.S. Schweers
A.D. Fursajev	BOT	A.D. Fursajev
A.D. Gorgidze	BOT	A.D. Gorgidze
A.D. Hewings	BOT	A.D. Hewings
A.D. Li	BOT	A.D. Li
A.D. Lordkipanidze	BOT	A.D. Lordkipanidze
A.D. Mewborn	BOT	A.D. Mewborn
A.D. Nader	BOT	A.D. Nader
A.D. Radzhi	BOT	A.D. Radzhi
A.D. Sharma	BOT	A.D. Sharma
A.D. Singh	BOT	A.D. Singh
A.D. Spreeth	BOT	A.D. Spreeth
A.David Banwell	BOT	A.David Banwell
A.de Talou	BOT	A.de Talou
A.E. Bailey-Watts	BOT	A.E. Bailey-Watts
A.E. Borodina	BOT	A.E. Borodina
A.E. Brown	BOT	A.E. Brown
A.E. Danebekov	BOT	A.E. Danebekov
A.E. Dupont	BOT	A.E. Dupont
A.E. Hamerton	BOT	A.E. Hamerton
A.E. Hine	BOT	A.E. Hine
A.E. Jansen	BOT	A.E. Jansen
A.E. Jarman	BOT	A.E. Jarman
A.E. Kasach	BOT	A.E. Kasach
A.E. Kashtanova	BOT	A.E. Kashtanova
A.E. Kassacz	BOT	A.E. Kassacz
A.E. Loxton	BOT	A.E. Loxton
A.E. Polovinko	BOT	A.E. Polovinko
A.E. Protsenko	BOT	A.E. Protsenko
A.E. Rodríguez	BOT	A.E. Rodríguez
A.E. Sangalang	BOT	A.E. Sangalang
A.E. Sonnikova	BOT	A.E. Sonnikova
A.E. van den Berg-Block	BOT	A.E. van den Berg-Block
A.E. Zeilinga	BOT	A.E. Zeilinga
A.E.de Arêa Leão	BOT	A.E.de Arêa Leão
A.E.Shanavas Khan	BOT	A.E.Shanavas Khan
A.Ewart Åberg	BOT	A.Ewart Åberg
A.F. Bohórquez-Osorio	BOT	A.F. Bohórquez-Osorio
A.F. El-Helaly	BOT	A.F. El-Helaly
A.F. Hallett	BOT	A.F. Hallett
A.F. Porter	BOT	A.F. Porter
A.F. Railyan	BOT	A.F. Railyan
A.F. Robinson	BOT	A.F. Robinson
A.F. Schmalreck	BOT	A.F. Schmalreck
A.F. Solkina	BOT	A.F. Solkina
A.F. van Oostrum	BOT	A.F. van Oostrum
A.F.I.Carolus Mayer	BOT	A.F.I.Carolus Mayer
A.F.M. Reijnders	BOT	A.F.M. Reijnders
A.G. Buendía	BOT	A.G. Buendía
A.G. Buitenhuis	BOT	A.G. Buitenhuis
A.G. Bystrushkin	BOT	A.G. Bystrushkin
A.G. Caljon	BOT	A.G. Caljon
A.G. Chachina	BOT	A.G. Chachina
A.G. Channon	BOT	A.G. Channon
A.G. Chintchuk	BOT	A.G. Chintchuk
A.G. Dustan	BOT	A.G. Dustan
A.G. Fengler	BOT	A.G. Fengler
A.G. Guerra	BOT	A.G. Guerra
A.G. Jausar	BOT	A.G. Jausar
A.G. Khakhina	BOT	A.G. Khakhina
A.G. Khakimova	BOT	A.G. Khakimova
A.G. Konokotina	BOT	A.G. Konokotina
A.G. Lang	BOT	A.G. Lang
A.G. Maneev	BOT	A.G. Maneev
A.G. Pedrini	BOT	A.G. Pedrini
A.G. Peltier	BOT	A.G. Peltier
A.G. Pospelov	BOT	A.G. Pospelov
A.G. Rewbridge	BOT	A.G. Rewbridge
A.G. Schekhovtsov	BOT	A.G. Schekhovtsov
A.G. Scheltema	BOT	A.G. Scheltema
A.G. Spiers	BOT	A.G. Spiers
A.G. Untawale	BOT	A.G. Untawale
A.G. Vobogdin	BOT	A.G. Vobogdin
A.G.R. Schultze	BOT	A.G.R. Schultze
A.Gonçalves da Cunha	BOT	A.Gonçalves da Cunha
A.H. Coogan	BOT	A.H. Coogan
A.H. Honan	BOT	A.H. Honan
A.H. McCain	BOT	A.H. McCain
A.H. Moubasher	BOT	A.H. Moubasher
A.H. Munshi	BOT	A.H. Munshi
A.H. Rajasab	BOT	A.H. Rajasab
A.H. Rantio-Lehtimäki	BOT	A.H. Rantio-Lehtimäki
A.H. Smee	BOT	A.H. Smee
A.H. Winward	BOT	A.H. Winward
A.H.A. Al-Dboon	BOT	A.H.A. Al-Dboon
A.H.E. Al-Musawi	BOT	A.H.E. Al-Musawi
A.H.G. ('Bert') Gerrits van den Ende	BOT	A.H.G. ('Bert') Gerrits van den Ende
A.H.Hertha Grichenko	BOT	A.H.Hertha Grichenko
A.H.P.M. Salman	BOT	A.H.P.M. Salman
A.I. Burgyukova	BOT	A.I. Burgyukova
