A L P da Silva Manso	BOT	Silva Manso	António Luiz Patricio da Silva Manso
A L P Matruchot	BOT	Matr.	Alphonse Louis Paul Matruchot
A L P P de Candolle	BOT	A.DC.	Alphonse Louis Pierre Pyrame de Candolle
A L Poole	BOT	Poole	Alick Lindsay Poole
A L S Lejeune	BOT	Lej.	Alexandre Louis Simon Lejeune
A L Smith	BOT	A.L.Sm.	Annie Lorrain Smith
A Lemaire	BOT	A.Lem.	Adrien Lemaire
A Leroy	BOT	Leroy	Andre Leroy	André Leroy
A Llanos	BOT	Llanos	Antonio Llanos
A Lonicer	BOT	Lonitzer	Adam Lonicer
A Loosjes	BOT	Loosjes	Adriaan Loosjes
A Losina-Losinskaja	BOT	Losinsk.	A.S. Losina-Losinskaja
A Lounsberry	BOT	Lounsb.	Alice Lounsberry
A Lourteig	BOT	Lourteig	Alicia Lourteig
A Lowrie	BOT	Lowrie	Allen Lowrie
A M Amirkhanov	BOT	Amirkh.	Amirkhan Magomedovich Amirkhanov
A M F J P de Beauvois	BOT	P.Beauv.	Ambroise Marie François Joseph Palisot de Beauvois
A M H Jr	BOT	Harvill	Alton McCaleb Harvill, Jr	Alton McCaleb Harvill, Jr.
A M Henssen	BOT	Henssen	Aino Marjatta Henssen
A M Husson	BOT	Husson	A. M. Husson	A.M. Husson
A M Raynal	BOT	A.Raynal	Aline Marie Raynal
A M Ross	BOT	A.M.Ross	Alexander Milton Ross
A M Smith	BOT	A.M.Sm.	Annie Morrill Smith
A M Vail	BOT	Vail	Anna Murray Vail
A M W Mennega	BOT	Mennega	Alberta Maria Wilhelmina Mennega
A Macedo	BOT	A.Macedo	Amaro Macedo
A Magnin	BOT	Magnin	Antoine Magnin
A Maille	BOT	Maille	Alphonse Maille
A Martini	BOT	Martini	Alessandro Martini
A Mathews	BOT	A.Mathews	Andrew Mathews
A McMillan	BOT	McMillan	A.J.S. McMillan
A Mentz	BOT	Mentz	August Mentz
A Menzies	BOT	Menzies	Archibald Menzies
A Meyer	BOT	Art.Mey.	Arthur Meyer
A Michaux	BOT	Michx.	André Michaux
A Milne-Edwards	BOT	Milne-Edw.	Alphonse Milne-Edwards	A. Milne-Edwards
A Moon	BOT	Moon	Alexander Moon
A Moritzi	BOT	Moritzi	Alexander Moritzi
A Morrison	BOT	Morrison	Alexander Morrison
A N C Acloque	BOT	Acloque	Alexandre Noël Charles Acloque
A N Danilov	BOT	A.N.Danilov	Afanasij Nikolaevich Danilov
A N Demidov	BOT	A.N.Demidov	Anatoly Nikolaievich Demidov
A N Doust	BOT	Doust	Andrew N.L. Doust
A N Duchesne	BOT	Duchesne	Antoine Nicolas Duchesne
A N Krassnov	BOT	Krasn.	Andrej Nikovaevich Krassnov
A N Sennikov	BOT	Sennikov	Alexander Nikolaevitsch Sennikov
A N Steward	BOT	Steward	Albert Newton Steward
A Neilreich	BOT	Neilr.	August Neilreich
A Nelson	BOT	A.Nelson	Aven Nelson
A Neumann	BOT	A.Neumann	Alfred Neumann
A Náves	BOT	Náves	Andrés Náves
A O Hume	BOT	Hume	Allan Octavian Hume
A Orange	BOT	Orange	Alan Orange
A Osborn	BOT	Osborn	Arthur Osborn
A Osterwalder	BOT	Osterw.	Adolph Osterwalder
A P de Candolle	BOT	D.C.	DC.	Augustin Pyramus de Candolle	Augustin-Pyramus de Candolle
A P Fedchenko	BOT	A.Fedtsch.	Alexei Pavlovich Fedchenko
A P Melikyan	BOT	Melikyan	Aleksander Pavlovich Melikyan
A P Morgan	BOT	Morgan	Andrew Price Morgan
A P P Lesson	BOT	A.Lesson	Adolphe Pierre Primevère Lesson
A Palmgren	BOT	Palmgr.	Alvar Palmgren
A Pansche	BOT	Pansche	Adolf Pansche
A Pantazidou	BOT	Pantaz.	Andriana Pantazidou
A Pascher	BOT	Pascher	Adolf Pascher
A Perrier	BOT	Perrier	Alfred Perrier
A Peter	BOT	Peter	Albert Peter
A Phillipps	BOT	Phillipps	Anthea Phillipps
A Pilát	BOT	Pilát	Albert Pilát
A Plée	BOT	Plée	Auguste Plée
A Polatschek	BOT	Polatschek	Adolf Polatschek
A Pomel	BOT	Pomel	Auguste Pomel
A Pramanik	BOT	A.Pramanik	Arabinda Pramanik
A Pratt	BOT	Pratt	Anne Pratt
A Q Rivinus	BOT	Riv.	Augustus Quirinus Rivinus
A R Brach	BOT	Brach	Anthony Robert Brach
A R Clapham	BOT	A.R.Clapham	Arthur Roy Clapham
A R Delile	BOT	Delile	Alire Raffeneau Delile
A R Franchet	BOT	Franch.	Adrien René Franchet
A R P da Silva	BOT	P.Silva	António Rodrigo Pinto da Silva
A R Smith	BOT	A.R.Sm.	Alan Reid Smith
A R Wallace	BOT	Wallace	Alfred Russel Wallace
A R Zhebrak	BOT	Zhebrak	Anton Romanovich Zhebrak
A Radcliffe-Smith	BOT	Radcl.-Sm.	Alan Radcliffe-Smith
A Razafindratsira	BOT	Razaf.	Alfred Razafindratsira
A Rees	BOT	Rees	Abraham Rees
A Rehder	BOT	Rehder	Alfred Rehder
A Rehmann	BOT	Rehmann	Anton Rehmann
A Richard	BOT	A.Rich.	Achille Richard
A Ricken	BOT	Ricken	Adalbert Ricken
A Riocreux	BOT	Riocreux	Alfred Riocreux
A Risso	BOT	Risso	Antoine Risso
A Robinson	BOT	A.S.Rob.	Alastair Robinson
A S Alva	BOT	Sagást.	Abundio Sagástegui Alva
A S Hitchcock	BOT	Hitchc.	Albert Spear Hitchcock
A S Lazarenko	BOT	Laz.	Andrei Sazontovich Lazarenko
A S Pearse	BOT	Pearse	Arthur Sperry Pearse
A S Pease	BOT	Pease	Arthur Stanley Pease
A S Rogowicz	BOT	Rogow.	Athanasi Semenovich Rogowicz
A S Schchian	BOT	Schchian	Anna Semenovna Schchian
A S Ørsted	BOT	Oerst.	Anders Sandøe Ørsted
A Saint-Hilaire	BOT	A.St.-Hil.	Augustin Saint-Hilaire
A Scheibe	BOT	Scheibe	Arnold Scheibe
A Schenk	BOT	A.Schenk	Alexander Schenk
A Scherffel	BOT	Scherff.	Aladár Scherffel
A Scheygrond	BOT	Scheygr.	Arie Scheygrond
A Schlagintweit	BOT	A.Schlag.	Adolf Schlagintweit
A Schlickum	BOT	A.Schlick.	August Schlickum
A Schneider	BOT	A.Schneid.	Albert Schneider
A Schnyder	BOT	A.Schnyd.	Albert Schnyder
A Schott	BOT	Ant.Schott	Anton Schott
A Schuiteman	BOT	Schuit.	André Schuiteman
A Schultz	BOT	A.Schultz	Arthur Schultz
A Schäfer-Verwimp	BOT	Schäf.-Verw.	Alfons Schäfer-Verwimp
A Sheng Xu	BOT	A Sheng Xu
A Sinclair	BOT	A.Sinclair	Andrew Sinclair
A Skutch	BOT	Skutch	Alexander Skutch
A Skvortsov	BOT	A.K.Skvortsov	Alexey Skvortsov
A Soriano	BOT	A.Soriano	Alberto Soriano
A Sparrman	BOT	Sparrm.	Anders Sparrman
A Stahl	BOT	A.Stahl	Agustín Stahl
A T Batalin	BOT	Batalin	Alexander Theodorowicz Batalin
A T de Rochebrune	BOT	Rochebr.	Alphonse Trémeau de Rochebrune	Rochebrune
A T Hunziker	BOT	Hunz.	Armando Theodoro Hunziker
A Takhtajan	BOT	Takht.	Armen Takhtajan
A Tansley	BOT	Tansley	Arthur Tansley
A Taton	BOT	Taton	Auguste Taton
A Terracciano	BOT	A.Terracc.	Achille Terracciano
A Thellung	BOT	Thell.	Albert Thellung
