id	wikidata	ipni	zoobank	formerIds	family	given	suffix	born	died	activeFrom	activeTo	groups	source
ipni:20046669-1		20046669-1			Scheller	Immanuel Johann Gerhard		1735	1803			Pteridophytes	ipni
ipni:20046670-1		20046670-1			Cohen	Dylan H.				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046671-1		20046671-1			Santilli	Ludovica				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046672-1		20046672-1			Claes	Florent						Angiosperms|Gymnosperms	ipni
ipni:20046673-1		20046673-1			Dávila Estela	Luis				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046674-1		20046674-1			Chilón Minchán	Cattia Denisse				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046676-1		20046676-1			Castro	Cristian Leonardo				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046677-1		20046677-1			Djordjević	Vladan				2018	2018	Angiosperms|Gymnosperms	ipni
ipni:20046678-1		20046678-1			Cavero Contreras	Ruth Magali				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046679-1		20046679-1			Kobayashi	Teiichi		1901	1996				ipni
ipni:20046680-1		20046680-1			Yosida	Takasi		1921	2019				ipni
ipni:20046681-1		20046681-1			Fellin	Alessandro				2018	2018	Fungi	ipni
ipni:20046682-1		20046682-1			Jabeena	Manjakulam Khadhersha				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046683-1		20046683-1			Mejía-Pazos	Nicanor				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046684-1		20046684-1			Figueiredo	Sabrina Soares				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046688-1		20046688-1			Lepchenko	Yakov Khomovych		1883	1942				ipni
ipni:20046690-1		20046690-1			Yang	Xi Ling				1984	1984	Angiosperms|Gymnosperms	ipni
ipni:20046692-1		20046692-1			Deng	Meng Qui				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046798-1		20046798-1			Ivanov	Dimiter				2013	2013		ipni
ipni:20046901-1		20046901-1			Castro Hernández	Jonatan				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046903-1		20046903-1			Sebastian	M.K.				2015	2015	Angiosperms|Gymnosperms	ipni
ipni:20046904-1		20046904-1			Azeez	P.A.				2015	2015	Angiosperms|Gymnosperms	ipni
ipni:20046905-1		20046905-1			Nikhil Raj	P.P.				2015	2015	Angiosperms|Gymnosperms	ipni
ipni:20046906-1		20046906-1			Arun	P.R.				2015	2015	Angiosperms|Gymnosperms	ipni
ipni:20046908-1		20046908-1			Yin	Dan Hong				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046909-1		20046909-1			Rabarijaona	Romer Narindra				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046910-1		20046910-1			Bajona	E.						Angiosperms|Gymnosperms	ipni
ipni:20046911-1		20046911-1			Jesús-Almonte	José M. de						Angiosperms|Gymnosperms	ipni
ipni:20046913-1		20046913-1			Otto	Heinz				2011	2011	Angiosperms|Gymnosperms	ipni
ipni:20046914-1		20046914-1			Dhabak	Maniruddin R.				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046915-1		20046915-1			Monteros	Marco Federico				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046916-1		20046916-1			Marline	Lovanomenjanahary		1986				Bryophytes	ipni
ipni:20046917-1		20046917-1			Marchi do Carmo	Dimas				2019	2019	Bryophytes	ipni
ipni:20046918-1		20046918-1			de Almeida Amélio	Leandro		1992				Bryophytes	ipni
ipni:20046919-1		20046919-1			Frogley	Kelly		1998				Bryophytes	ipni
ipni:20046920-1		20046920-1			Srivastava	Anshu		1968				Bryophytes	ipni
ipni:20046921-1		20046921-1			Peñaloza-Bojacá	Gabriel Felipe		1987					ipni
ipni:20046922-1		20046922-1			Fossatti Adames	Iris Lisseth		1990				Bryophytes	ipni
ipni:20046923-1		20046923-1			Costa Macedo	Luciana Priscila		1986				Bryophytes	ipni
ipni:20046924-1		20046924-1			Ludwiczuk	Agnieszka		1974					ipni
ipni:20046925-1		20046925-1			Winter	Gerhard		1949					ipni
ipni:20046926-1		20046926-1			Maciel-Silva	Adaíses Simone		1982				Bryophytes	ipni
ipni:20046928-1		20046928-1			Wang	Jun You				2019	2019		ipni
ipni:20046929-1		20046929-1			Li	Ya							ipni
ipni:20046930-1		20046930-1			Zhang	Wen				2018	2018		ipni
ipni:20046931-1		20046931-1			Srivastava	T.N.		1942					ipni
ipni:20046932-1		20046932-1			Wang	Yong Dong				2020	2020		ipni
ipni:20046933-1		20046933-1			Asakawa	Yoshinori				2011	2011		ipni
ipni:20046934-1		20046934-1			Lima	Eliene				2020	2020	Bryophytes	ipni
ipni:20046935-1		20046935-1			Nagashima	Fumihiro				2011	2011		ipni
ipni:20046937-1		20046937-1			Jo	D.G.				2005	2005	Angiosperms|Gymnosperms	ipni
ipni:20046938-1		20046938-1			Kim	K.S.				2005	2005	Angiosperms|Gymnosperms	ipni
ipni:20046940-1		20046940-1			Horák	David				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046941-1		20046941-1			Hajman	Martin				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046942-1		20046942-1			Carrera	Martín				2018	2018	Angiosperms|Gymnosperms	ipni
ipni:20046943-1		20046943-1			Muralidharan	Enarth Maviton				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046944-1		20046944-1			Zhen	Ai Guo				2021	2021		ipni
ipni:20046945-1		20046945-1			Gavilanes	María José				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046946-1		20046946-1			Vanzara	Akash G.				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046947-1		20046947-1			Katara	Ilesh				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046948-1		20046948-1			Nagar	Padamnabhi S.				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046949-1		20046949-1			Yu	Xia				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046950-1		20046950-1			Su	Yu Lan				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046952-1		20046952-1			Sánchez Corominas	Teresa				2017	2017	Angiosperms|Gymnosperms	ipni
ipni:20046953-1		20046953-1			Nagalhard	Karl		1881	1978				ipni
ipni:20046954-1		20046954-1			Jerez Rico	Carlos Javier				1970		Angiosperms|Gymnosperms	ipni
ipni:20046955-1		20046955-1			Ocupa Horna	Luis				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046956-1		20046956-1			Williams	Christopher J.		1970					ipni
ipni:20046957-1		20046957-1			Gorelova	Susanna Georgievna		1920	1994				ipni
ipni:20046958-1		20046958-1			Dombrovskaja	Khasja Ruvimovna		1913	1984				ipni
ipni:20046959-1		20046959-1			Güner	Hüseyin Tuncay		1984					ipni
ipni:20046960-1		20046960-1			Fierro-Minda	Alisson				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046962-1		20046962-1			Nilanthi	Rajapakse Mudiyanselage Renuka				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046963-1		20046963-1			Ibrahim-Okay	Ahmet Can		1897	1981				ipni
ipni:20046964-1		20046964-1			Newbigin	Ed				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046965-1		20046965-1			Waterhouse	Peter M.				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046966-1		20046966-1			Radunz	Evelyn A.				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046967-1		20046967-1			López-Machado	Francisco				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046969-1		20046969-1			Castro	Cristian				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046970-1		20046970-1			Rinya	Koj				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046971-1		20046971-1			Tang	Sheng Hu				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046972-1		20046972-1			Vélez-Abarca	Leisberth		1992				Angiosperms|Gymnosperms	ipni
ipni:20046973-1		20046973-1			Chinga	Javiera				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046974-1		20046974-1			Photikwan	Ekkaphon				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046975-1		20046975-1			White	Oliver W.				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046976-1		20046976-1			Li	Wen Lan				2015	2015	Angiosperms|Gymnosperms	ipni
ipni:20046977-1		20046977-1			Li	Qian Kun		1986				Angiosperms|Gymnosperms	ipni
ipni:20046978-1		20046978-1			Pontes-Pires	Aline Fernandes				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046979-1		20046979-1			Berger	Matt				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046982-1		20046982-1			de Oliveira	Cellini Castro				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046983-1		20046983-1			Wang	Hui-Feng				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046986-1		20046986-1			Krueger	Thilo				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046987-1		20046987-1			Guevara-Lazcano	Emmanuel				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046988-1		20046988-1			Excoffier	Paul				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046989-1		20046989-1			Alexandrova	Lia Vasil'jevna		1931					ipni
ipni:20046990-1		20046990-1			Butler	Rachel M.				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046994-1		20046994-1			Yadav	Rekha				2021	2021	Angiosperms|Gymnosperms	ipni
