person	relation	other	source
wd:Q52159716	PARENT	wd:Q3140859	wikidata
wd:Q52318576	PARENT	wd:Q47493778	wikidata
wd:Q5275207	PARENT	wd:Q62826	wikidata
wd:Q5345226	PARENT	wd:Q1223057	wikidata
wd:Q5395685	SIBLING	wd:Q5957370	wikidata
wd:Q5405834	PARENT	wd:Q319444	wikidata
wd:Q542059	PARENT	wd:Q505173	wikidata
wd:Q5482698	PARENT	wd:Q1161960	wikidata
wd:Q5504818	PARENT	wd:Q1465275	wikidata
wd:Q55070761	PARENT	wd:Q214994	wikidata
wd:Q55072783	PARENT	wd:Q1235813	wikidata
wd:Q5547566	SIBLING	wd:Q5547606	wikidata
wd:Q555221	PARENT	wd:Q6146106	wikidata
wd:Q5575988	PARENT	wd:Q725590	wikidata
wd:Q5644983	PARENT	wd:Q524865	wikidata
wd:Q5646502	PARENT	wd:Q1839687	wikidata
wd:Q5656588	PARENT	wd:Q5560396	wikidata
wd:Q5673040	PARENT	wd:Q6144631	wikidata
wd:Q5675268	PARENT	wd:Q4088747	wikidata
wd:Q5675465	PARENT	wd:Q5492362	wikidata
wd:Q5689744	PARENT	wd:Q2823057	wikidata
wd:Q5700152	PARENT	wd:Q36659078	wikidata
wd:Q57230	PARENT	wd:Q98731	wikidata
wd:Q5730819	PARENT	wd:Q2613598	wikidata
wd:Q5730819	PARENT	wd:Q3176114	wikidata
wd:Q5744270	PARENT	wd:Q5862534	wikidata
wd:Q5749284	PARENT	wd:Q77650	wikidata
wd:Q5749305	PARENT	wd:Q4352379	wikidata
wd:Q5749305	SIBLING	wd:Q5791881	wikidata
wd:Q5753301	PARENT	wd:Q34430	wikidata
wd:Q5764886	PARENT	wd:Q1699308	wikidata
wd:Q5765094	PARENT	wd:Q5973795	wikidata
wd:Q5771876	SIBLING	wd:Q5849022	wikidata
wd:Q5791881	PARENT	wd:Q4352379	wikidata
wd:Q5800331	PARENT	wd:Q21337541	wikidata
wd:Q58062	PARENT	wd:Q213570	wikidata
wd:Q58068	SIBLING	wd:Q98731	wikidata
wd:Q5811565	PARENT	wd:Q5811518	wikidata
wd:Q5849923	PARENT	wd:Q5771876	wikidata
wd:Q5862534	PARENT	wd:Q15405	wikidata
wd:Q5878135	SIBLING	wd:Q6436331	wikidata
wd:Q5933203	PARENT	wd:Q12899201	wikidata
wd:Q5950139	PARENT	wd:Q1353945	wikidata
wd:Q5981521	PARENT	wd:Q1441533	wikidata
wd:Q5982210	PARENT	wd:Q616800	wikidata
wd:Q600826	PARENT	wd:Q521190	wikidata
wd:Q6035736	PARENT	wd:Q5042426	wikidata
wd:Q6044321	PARENT	wd:Q5706969	wikidata
wd:Q60616	SIBLING	wd:Q62839	wikidata
wd:Q6075571	PARENT	wd:Q1688430	wikidata
wd:Q60866	PARENT	wd:Q66051	wikidata
wd:Q610981	PARENT	wd:Q2037491	wikidata
wd:Q6120869	PARENT	wd:Q166598	wikidata
wd:Q61290	PARENT	wd:Q21505375	wikidata
wd:Q6135970	PARENT	wd:Q1378167	wikidata
wd:Q6144631	SIBLING	wd:Q7350594	wikidata
wd:Q615184	PARENT	wd:Q3771522	wikidata
wd:Q6167453	PARENT	wd:Q64983	wikidata
wd:Q6167453	SIBLING	wd:Q64294	wikidata
wd:Q61844	PARENT	wd:Q96643	wikidata
wd:Q62086	SIBLING	wd:Q68738	wikidata
wd:Q6215247	PARENT	wd:Q11866613	wikidata
wd:Q62229	PARENT	wd:Q71260	wikidata
wd:Q62242	PARENT	wd:Q60226	wikidata
wd:Q6228721	SIBLING	wd:Q924143	wikidata
wd:Q6234151	PARENT	wd:Q3434884	wikidata
wd:Q62820	PARENT	wd:Q58053	wikidata
wd:Q62826	PARENT	wd:Q21608034	wikidata
wd:Q62928637	PARENT	wd:Q25441805	wikidata
wd:Q63760	PARENT	wd:Q63251	wikidata
wd:Q63984820	PARENT	wd:Q1863629	wikidata
wd:Q64294	PARENT	wd:Q64983	wikidata
wd:Q6437103	SIBLING	wd:Q932083	wikidata
wd:Q64767	PARENT	wd:Q67923	wikidata
wd:Q65118	SIBLING	wd:Q65685	wikidata
