person	form	kind	code	source
ipni:20079415-1	M.C. Bloomfield	FULL	ANY	ipni
ipni:20079416-1	Blondelle	STANDARD	BOT	ipni
ipni:20079416-1	A. Blondelle	FULL	ANY	ipni
ipni:20079417-1	R.Blasco	STANDARD	BOT	ipni
ipni:20079417-1	R. Blasco	FULL	ANY	ipni
ipni:20079418-1	Blázquez	STANDARD	BOT	ipni
ipni:20079418-1	M. Blázquez	FULL	ANY	ipni
ipni:20079419-1	Bittenc.	STANDARD	BOT	ipni
ipni:20079419-1	F. Bittencourt	FULL	ANY	ipni
ipni:20079420-1	Bispo	STANDARD	BOT	ipni
ipni:20079420-1	M.G.S. Bispo	FULL	ANY	ipni
ipni:20079422-1	Birkhead	STANDARD	BOT	ipni
ipni:20079422-1	M. Birkhead	FULL	ANY	ipni
ipni:20079423-1	B.Chen bis	STANDARD	BOT	ipni
ipni:20079423-1	Bin Chen	FULL	ANY	ipni
ipni:20079424-1	Bilański	STANDARD	BOT	ipni
ipni:20079424-1	Piotr Bilański	FULL	ANY	ipni
ipni:20079425-1	Bijeesh	STANDARD	BOT	ipni
ipni:20079425-1	C. Bijeesh	FULL	ANY	ipni
ipni:20079426-1	Bhunjun	STANDARD	BOT	ipni
ipni:20079426-1	C.S. Bhunjun	FULL	ANY	ipni
ipni:20079427-1	Beypih	STANDARD	BOT	ipni
ipni:20079427-1	J. Beypih	FULL	ANY	ipni
ipni:20079428-1	Bessadat	STANDARD	BOT	ipni
ipni:20079428-1	N. Bessadat	FULL	ANY	ipni
ipni:20079429-1	Beserra	STANDARD	BOT	ipni
ipni:20079429-1	J.E.A. Beserra	FULL	ANY	ipni
ipni:20079430-1	Bersan	STANDARD	BOT	ipni
ipni:20079430-1	F. Bersan	FULL	ANY	ipni
ipni:20079431-1	Bernr.	STANDARD	BOT	ipni
ipni:20079431-1	A. Bernreiter	FULL	ANY	ipni
ipni:20079432-1	Berna	STANDARD	BOT	ipni
ipni:20079432-1	C. Berna	FULL	ANY	ipni
ipni:20079433-1	Berm.-Cova	STANDARD	BOT	ipni
ipni:20079433-1	M.A. Bermúdez-Cova	FULL	ANY	ipni
ipni:20079434-1	Berlanas	STANDARD	BOT	ipni
ipni:20079434-1	C. Berlanas	FULL	ANY	ipni
ipni:20079435-1	Berkov	STANDARD	BOT	ipni
ipni:20079435-1	J.E. Berkov	FULL	ANY	ipni
ipni:20079436-1	Bensl.	STANDARD	BOT	ipni
ipni:20079436-1	H. Benslimane	FULL	ANY	ipni
ipni:20079437-1	Benesperi	STANDARD	BOT	ipni
ipni:20079437-1	Renato Benesperi	FULL	ANY	ipni
ipni:20079438-1	Belos.	STANDARD	BOT	ipni
ipni:20079438-1	A. Belosokhov	FULL	ANY	ipni
ipni:20079439-1	Bell-Doyon	STANDARD	BOT	ipni
ipni:20079439-1	P. Bell-Doyon	FULL	ANY	ipni
ipni:20079440-1	Bekkar.	STANDARD	BOT	ipni
ipni:20079440-1	A. Bekkarevich	FULL	ANY	ipni
ipni:20079543-1	Silberf.	STANDARD	BOT	ipni
ipni:20079543-1	Thomas Silberfeld	FULL	ANY	ipni
ipni:20079544-1	Racault	STANDARD	BOT	ipni
ipni:20079544-1	Marie-Fanny L.P. Racault	FULL	ANY	ipni
ipni:20079545-1	R.L.Fletcher	STANDARD	BOT	ipni
ipni:20079545-1	Robert L. Fletcher	FULL	ANY	ipni
ipni:20079546-1	H.N.Yang	STANDARD	BOT	ipni
ipni:20079546-1	Hai Nin Yang	FULL	ANY	ipni
ipni:20079546-1	Hai-Nin Yang	VARIANT	ANY	ipni
ipni:20079547-1	C.Peng bis	STANDARD	BOT	ipni
ipni:20079547-1	C. Peng	FULL	ANY	ipni
ipni:20079548-1	Onetto	STANDARD	BOT	ipni
ipni:20079548-1	C. Onetto	FULL	ANY	ipni
ipni:20079549-1	C.Muñoz	STANDARD	BOT	ipni
ipni:20079549-1	C. Muñoz	FULL	ANY	ipni
ipni:20079550-1	C.Morris	STANDARD	BOT	ipni
ipni:20079550-1	C. Morris	FULL	ANY	ipni
ipni:20079551-1	Morales-Rodr.	STANDARD	BOT	ipni
ipni:20079551-1	C. Morales-Rodríguez	FULL	ANY	ipni
ipni:20079552-1	C.Maia	STANDARD	BOT	ipni
ipni:20079552-1	Cristiana Maia	FULL	ANY	ipni
ipni:20079553-1	C.Lock	STANDARD	BOT	ipni
ipni:20079553-1	C. Lock	FULL	ANY	ipni
ipni:20079554-1	Chang Liu	STANDARD	BOT	ipni
ipni:20079554-1	Chang Liu	FULL	ANY	ipni
ipni:20079556-1	Changm.Kim	STANDARD	BOT	ipni
ipni:20079556-1	Changmu Kim	FULL	ANY	ipni
ipni:20079557-1	Kadooka	STANDARD	BOT	ipni
ipni:20079557-1	C. Kadooka	FULL	ANY	ipni
ipni:20079558-1	Jaichliaw	STANDARD	BOT	ipni
ipni:20079558-1	C. Jaichliaw	FULL	ANY	ipni
ipni:20079559-1	Cong Huang	STANDARD	BOT	ipni
ipni:20079559-1	Cong Huang	FULL	ANY	ipni
ipni:20079560-1	C.Heisecke	STANDARD	BOT	ipni
ipni:20079560-1	C. Heisecke	FULL	ANY	ipni
ipni:20079561-1	Gorton	STANDARD	BOT	ipni
ipni:20079561-1	C. Gorton	FULL	ANY	ipni
ipni:20079562-1	C.D.González	STANDARD	BOT	ipni
ipni:20079562-1	Cristian D. González	FULL	ANY	ipni
ipni:20079563-1	Gil-Durán	STANDARD	BOT	ipni
ipni:20079563-1	C. Gil-Durán	FULL	ANY	ipni
ipni:20079564-1	Furusawa	STANDARD	BOT	ipni
ipni:20079564-1	C. Furusawa	FULL	ANY	ipni
ipni:20079565-1	C.Foster	STANDARD	BOT	ipni
